Course Name,Course Type,Course Instructor
Amazon Elastic Container Service (AWS ECS),Free,Sanjeev
Automation Advanced Course,Paid,Mohan
Automation Certification Preparation Course,Paid,Mohan
AZ-104: Microsoft Azure Administrator,Paid,Ritin
Certification Course - Certified Administrator,Paid,Mohan
Certified Application Developer,Paid,Mohan
Certified Kubernetes Security Specialist (CKS),Paid,Vijay
Certified Python Entry-Level Programmer - PCEP Certification Prep Course,Paid,Lydia
Chef for the Absolute Beginners,Paid,Mohan
DevOps Interview Preparation Course,Paid,Roy
DevOps Pre-Requisite Course,Paid,Mohan
DevSecOps - Kubernetes DevOps & Security,Paid,Sid
Docker - SWARM | SERVICES | STACKS - Hands-on,Paid,Mohan
Docker Certified Associate Exam Course,Paid,Mohan
Docker Training Course for the Absolute Beginner,Free,Mohan
GIT for Beginners,Paid,Lydia
Golang,Paid,Priya
HashiCorp : Terraform Cloud,Paid,Brad
HashiCorp Certified: Consul Associate Certification,Paid,Brad
HashiCorp Certified: Vault Associate Certification,Paid,Brad
HashiCorp Certified: Vault Operations Professional 2022,Paid,Brad
HashiCorp: Terraform Cloud,Paid,Brad
Helm for Beginners,Paid,Mohan
Istio Service Mesh,Paid,Sevi
Jenkins,Paid,Mike
Jinja2 Basics (Mini Course),Free,Mohan
JSON Path Test - Free Course,Free,Mohan
Kubernetes for the Absolute Beginners - Hands-on Tutorial,Paid,Mohan
Kustomize,Paid,Sanjeev
Labs - DevOps Pre-Requisite Course,Free,Sanjeev
Learn Automation Basics - Beginners Course,Paid,Mohan
Learn Devops - AWS Cloud for Beginners,Free,Neil
Learning Linux Basics Course & Labs,Paid,Mohan
Lens - Kubernetes IDE,Free,Neil
Linode : Kubernetes Engine,Free,Neil
Linux Foundation Certified System Administrator (LFCS),Paid,Aaron
Open Source for Beginners,Paid,Harsha
OpenShift for the Absolute Beginners,Paid,Mohan
PCAP - Python Certification Course,Paid,Lydia
Puppet for the Absolute Beginners Course,Paid,Mohan
Red Hat Certified System Administrator(RHCSA),Paid,Aaron
Shell Scripts for Beginners,Paid,Mohan
Terraform Associate Certification: HashiCorp Certified,Paid,Vijay
Terraform Basics Training Course,Paid,Vijay
Train the Trainer,Free,Mohan
Udemy Labs - Administrador certificado de Kubernetes con pruebas de práctica,Free,Mohan
Udemy Labs - Certified Kubernetes Administrator with Practice Tests,Free,Mohan
Udemy Labs - Certified Kubernetes Application Developer,Free,Mohan
